Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
42,1.623514509464594e-08,5.37742490942524e-09,1.0857720185220698e-08,2.161257000407118e-08,5.69539227217247e-09,2.6774897917119408e-08,1.447226593726529e-09,3.1023063595565345e-08,-0.0003103477514308388,-0.0001582776057670681,-0.0007425051788474609,5.37742490942524e-09,-0.0007425105562723703,-0.0007424998014225515,-0.0007425157186002834,-0.0007424946390946384,-0.0007425199667659619,-0.0007424903909289599,-0.0003103477514308388,-0.0001582776057670681,0.054154340319032004,0.0025556769315885786
43,2.0011650707814207e-07,1.0733480835365323e-08,1.8938302624277675e-07,2.108499879135074e-07,1.7907888464082605e-07,2.211541295154581e-07,1.7059943478088745e-07,2.296335793753967e-07,-0.00043409861457208225,-0.0001917070363723161,-0.0168846853280678,1.0733480835365323e-08,-0.016884696061548635,-0.016884674594586962,-0.016884706365690234,-0.016884664290445363,-0.016884714845140095,-0.016884655810995502,-0.00043409861457208225,-0.0001917070363723161,0.3175752439038918,1.297483544862782e-73
44,1.1487376191022908e-07,1.4281941233874455e-08,1.0059182067635462e-07,1.2915570314410352e-07,8.688115709183515e-08,1.4286636672862302e-07,7.559842351707432e-08,1.5414910030338383e-07,-0.0032294794668179844,-0.0014905289846852236,-0.00016722030739411108,1.4281941233874455e-08,-0.00016723458933534495,-0.0001672060254528772,-0.00016724829999892947,-0.00016719231478929268,-0.00016725958273250424,-0.00016718103205571791,-0.0032294794668179844,-0.0014905289846852236,0.1430000975666778,1.232788884402512e-15
45,-1.4951918368040881e-07,1.9400366640430407e-08,-1.689195503208392e-07,-1.3011881703997842e-07,-1.8754390229565242e-07,-1.1149446506516521e-07,-2.0287019194159244e-07,-9.61681754192252e-08,-0.0032573495180503362,-0.0015033920852540012,0.013168003878491447,1.9400366640430407e-08,0.013167984478124806,0.013168023278858089,0.013167965853772832,0.013168041903210062,0.013167950527483187,0.013168057229499708,-0.0032573495180503362,-0.0015033920852540012,-0.13713664854415614,1.7218484241487186e-14
46,3.148614959123409e-07,4.233009365624217e-08,2.7253140225609874e-07,3.5719158956858307e-07,2.3189451234610624e-07,3.9782847947857557e-07,1.9845373835767495e-07,4.3126925346700686e-07,-0.0008262541212712329,-0.0004904687099854284,0.0013428245033596242,4.233009365624217e-08,0.001342782173265968,0.0013428668334532804,0.001342741536376058,0.0013429074703431903,0.0013427080956020696,0.0013429409111171788,-0.0008262541212712329,-0.0004904687099854284,0.13243931854574956,1.3138412461797622e-13
47,-2.1234871838702897e-07,2.3627632818202523e-08,-2.359763512052315e-07,-1.8872108556882644e-07,-2.5865887871070593e-07,-1.66038558063352e-07,-2.773247086370859e-07,-1.4737272813697203e-07,-0.0004448513181885983,-0.0003871745174193035,0.006563860826703204,2.3627632818202523e-08,0.0065638371990703855,0.006563884454336022,0.00656381451654288,0.006563907136863527,0.006563795850712954,0.006563925802693453,-0.0004448513181885983,-0.0003871745174193035,-0.159379135104787,4.3051082125548014e-19
48,-8.117962028243056e-08,2.5342995044201077e-08,-1.0652261532663164e-07,-5.583662523822949e-08,-1.3085189056906467e-07,-3.150734999579645e-08,-1.508728566539835e-07,-1.1486383910877606e-08,0.0005467130657074836,0.00014857267814640695,-0.0008017365787987545,2.5342995044201077e-08,-0.0008017619217937987,-0.0008017112358037103,-0.0008017862510690412,-0.0008016869065284679,-0.000801806272035126,-0.000801666885562383,0.0005467130657074836,0.00014857267814640695,-0.05744609422324175,0.0013726927224450886
49,4.101647206968081e-07,4.0528057815949914e-08,3.696366628808582e-07,4.50692778512758e-07,3.3072972737754626e-07,4.895997140160699e-07,2.9871256170294585e-07,5.216168796906704e-07,0.0005368411657156015,4.741963898931692e-05,-0.021593866867904606,4.0528057815949914e-08,-0.02159390739596242,-0.02159382633984679,-0.021593946302897925,-0.021593787432911286,-0.0215939783200636,-0.02159375541574561,0.0005368411657156015,4.741963898931692e-05,0.17886726239851747,1.0423441936273849e-23
50,7.416898036949575e-07,5.5932840503936214e-08,6.857569631910213e-07,7.976226441988937e-07,6.320614363072425e-07,8.513181710826725e-07,5.878744923091329e-07,8.955051150807821e-07,-0.00024802242425719934,-0.0016136470431571915,-0.012009326989287653,5.5932840503936214e-08,-0.012009382922128156,-0.01200927105644715,-0.01200943661765504,-0.012009217360920265,-0.012009480804599038,-0.012009173173976267,-0.00024802242425719934,-0.0016136470431571915,0.2317184277356842,4.469505502449974e-39
51,2.189047609031794e-08,3.124273916905694e-08,-9.352263078739e-09,5.3133215259374885e-08,-3.9345292681033653e-08,8.312624486166954e-08,-6.402705662458865e-08,1.0780800880522454e-07,-0.002221706871239456,-0.002528795256595289,0.011238446294786007,3.124273916905694e-08,0.011238415052046839,0.011238477537525176,0.011238385059017236,0.011238507530554779,0.011238360377253292,0.011238532212318722,-0.002221706871239456,-0.002528795256595289,0.012585223124285252,0.48356905453098764
