Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
336,0.1326282521080828,0.005312618762453319,0.12731563334562948,0.1379408708705361,0.12221551933367429,0.1430409848824913,0.11801855051133617,0.14723795370482942,-0.25425412351103466,-0.2611929605965514,-0.5162064566098511,0.005312618762453319,-0.5215190753723045,-0.5108938378473977,-0.5266191893842596,-0.5057937238354426,-0.5308161582065978,-0.5015967550131044,-0.25425412351103466,-0.2611929605965514,0.4091902272817054,1.699304126353118e-125
337,0.09310810845088567,0.004346142984682893,0.08876196546620278,0.09745425143556856,0.0845896682009072,0.10162654870086414,0.08115621524300771,0.10506000165876363,-0.2688761897971987,-0.2742931591491726,-0.36687566611649963,0.004346142984682893,-0.3712218091011825,-0.36252952313181674,-0.3753941063664781,-0.3583572258665212,-0.3788275593243776,-0.35492377290862165,-0.2688761897971987,-0.2742931591491726,0.3591562838028511,4.607094391521507e-95
338,0.059469835565866325,0.0036476094945610497,0.05582222607130528,0.06311744506042738,0.052320520956526666,0.06661915017520598,0.04943890945582344,0.06950076167590921,-0.28265901633180107,-0.2826720964437101,-0.2297349916601959,0.0036476094945610497,-0.23338260115475695,-0.22608738216563484,-0.23688430626953555,-0.22258567705085625,-0.23976591777023878,-0.219704065550153,-0.28265901633180107,-0.2826720964437101,0.28106573950085456,2.1264908056896575e-57
339,0.02862470292610373,0.0023070360507970625,0.026317666875306667,0.030931738976900793,0.024102912266541487,0.03314649358566597,0.022280353786411806,0.034969052065795654,-0.28241224011800764,-0.28339310956206454,-0.11404349915255983,0.0023070360507970625,-0.11635053520335689,-0.11173646310176277,-0.11856528981212207,-0.1095217084929976,-0.12038784829225176,-0.10769915001286791,-0.28241224011800764,-0.28339310956206454,0.2175444792583654,1.5504799254888177e-34
340,0.07610282615178812,0.004214557498187874,0.07188826865360025,0.080317383649976,0.06784229345533989,0.08436335884823636,0.06451279303177147,0.08769285927180477,-0.25929101760276385,-0.2763434532813586,-0.3003616756979358,0.004214557498187874,-0.3045762331961237,-0.2961471181997479,-0.30862220839438403,-0.2921011430014876,-0.3119517088179525,-0.28877164257791915,-0.25929101760276385,-0.2763434532813586,0.3085422953951236,2.213748550012561e-69
341,0.04404312548115201,0.002817874841798662,0.041225250639353346,0.04686100032295067,0.03852009079122663,0.049566160171077386,0.03629396966620569,0.05179228129609833,-0.2873038199197633,-0.2887865234706304,-0.17431247282835216,0.002817874841798662,-0.17713034767015082,-0.1714945979865535,-0.17983550751827754,-0.16878943813842678,-0.18206162864329847,-0.16656331701340585,-0.2873038199197633,-0.2887865234706304,0.27031437671999303,4.591950061028466e-53
342,0.058605736377366054,0.0036967027022133075,0.05490903367515275,0.06230243907957936,0.05136019908102797,0.06585127367370414,0.04843980394627946,0.06877166880845265,-0.28358912701089906,-0.28634280264923107,-0.23002452096762055,0.0036967027022133075,-0.23372122366983386,-0.22632781826540724,-0.23727005826395864,-0.22277898367128246,-0.24019045339870715,-0.21985858853653395,-0.28358912701089906,-0.28634280264923107,0.27389338999786966,1.7410904509555812e-54
343,0.14203612442487631,0.005278692498540229,0.13675743192633608,0.14731481692341655,0.13168988712773746,0.15238236172201516,0.12751972005389067,0.15655252879586196,-0.23589213773719397,-0.26592954031532484,-0.5614735865116116,0.005278692498540229,-0.5667522790101518,-0.5561948940130714,-0.5718198238087504,-0.5511273492144728,-0.5759899908825973,-0.5469571821406259,-0.23589213773719397,-0.26592954031532484,0.435180775025242,1.688655522353062e-143
344,0.10483837692091307,0.004891418228960967,0.0999469586919521,0.10972979514987403,0.09525119719214957,0.11442555664967656,0.0913869767912704,0.11828977705055573,-0.26832512446971263,-0.2761602732090744,-0.4094721085775994,0.004891418228960967,-0.41436352680656036,-0.40458069034863847,-0.4190592883063629,-0.3998849288488359,-0.42292350870724205,-0.3960207084479568,-0.26832512446971263,-0.2761602732090744,0.3593018056886482,3.823586074741914e-95
345,0.06763182966391149,0.00392757985743173,0.06370424980647976,0.07155940952134321,0.0599337731433453,0.07532988618447768,0.056830985055974226,0.07843267427184875,-0.29828131062261326,-0.2857982271835909,-0.26229596305217506,0.00392757985743173,-0.2662235429096068,-0.2583683831947433,-0.2699940195727413,-0.25459790653160885,-0.2730968076601123,-0.25149511844423783,-0.29828131062261326,-0.2857982271835909,0.29551058611854636,1.5596969427826177e-63
