Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
745,1.3081476504809109e-06,1.5952355685150816e-07,1.1486240936294026e-06,1.4676712073324191e-06,9.954814790519548e-07,1.620813821909867e-06,8.694578691392634e-07,1.7468374318225582e-06,5.929090358276887,8.586241803455028,10.335705580104602,1.5952355685150816e-07,10.335705420581045,10.335705739628159,10.33570526743843,10.335705892770774,10.33570514141482,10.335706018794383,5.929090358276887,8.586241803455028,0.4413344853300713,8.932635766507414e-15
746,7.620946598015899e-07,5.613226011957093e-08,7.05962399682019e-07,8.182269199211608e-07,6.520754299672309e-07,8.721138896359489e-07,6.077309444727699e-07,9.1645837513041e-07,6.653412088886523,8.824283102343761,7.963825158445321,5.613226011957093e-08,7.963825102313061,7.9638252145775805,7.963825048426091,7.963825268464551,7.963825004081605,7.963825312809036,6.653412088886523,8.824283102343761,0.6314238741123946,1.4823995870529933e-32
747,6.710700122126158e-07,3.438077307211414e-08,6.366892391405017e-07,7.0545078528473e-07,6.036836969912722e-07,7.384563274339595e-07,5.765228862643019e-07,7.656171381609297e-07,7.872367139166033,8.941469562814374,2.521336462029552,3.438077307211414e-08,2.5213364276487793,2.521336496410325,2.521336394643237,2.5213365294158674,2.521336367482426,2.5213365565766783,7.872367139166033,8.941469562814374,0.760353305222863,4.968159385592344e-54
748,1.14477381893465e-06,1.0610356606451141e-07,1.0386702528701385e-06,1.2508773849991614e-06,9.368108294482076e-07,1.3527368084210924e-06,8.529890122572436e-07,1.4365586256120564e-06,7.24413485599829,8.216861928899208,7.52673811956425,1.0610356606451141e-07,7.526738013460684,7.526738225667816,7.526737911601261,7.526738327527239,7.526737827779443,7.526738411349057,7.24413485599829,8.216861928899208,0.5432720394586023,6.711088776066173e-23
749,1.2489243889351504e-06,1.1765063411045931e-07,1.1312737548246911e-06,1.3665750230456097e-06,1.01832914607865e-06,1.4795196317916507e-06,9.253851451313873e-07,1.5724636327389134e-06,8.225781883268258,7.843141490994023,10.650943965883258,1.1765063411045931e-07,10.650943848232624,10.650944083533892,10.650943735288015,10.6509441964785,10.650943642344014,10.650944289422501,8.225781883268258,7.843141490994023,0.5370639006674264,2.531383361223308e-22
750,1.322851320707e-06,1.2919807729268935e-07,1.1936532434143107e-06,1.4520493979996894e-06,1.069623089213329e-06,1.5760795522006712e-06,9.675566081521042e-07,1.678146033261896e-06,8.328135870957519,7.686137166763607,9.766011939255158,1.2919807729268935e-07,9.76601181005708,9.766012068453236,9.766011686026927,9.76601219248339,9.766011583960445,9.76601229454987,8.328135870957519,7.686137166763607,0.5232975054029572,4.367444751833224e-21
751,9.36321566180532e-07,1.27160178196495e-07,8.09161387984037e-07,1.063481744377027e-06,6.870876169154018e-07,1.1855555154456622e-06,5.866310761401707e-07,1.2860120562208932e-06,8.127426870880358,7.369627324206133,16.164709156411714,1.27160178196495e-07,16.164709029251537,16.16470928357189,16.164708907177765,16.164709405645663,16.164708806721222,16.164709506102206,8.127426870880358,7.369627324206133,0.4039819561556707,2.0410542616349554e-12
752,9.999661260168705e-07,1.1210570683538298e-07,8.878604191814875e-07,1.1120718328522534e-06,7.802389406195199e-07,1.219693311414221e-06,6.916754322195673e-07,1.3082568198141736e-06,9.098927466931542,7.731062502411936,14.75041942517089,1.1210570683538298e-07,14.750419313065184,14.750419537276596,14.750419205443704,14.750419644898075,14.750419116880195,14.750419733461584,9.098927466931542,7.731062502411936,0.47171625037240084,6.407386578018641e-17
753,6.817663104638602e-07,6.587909084069161e-08,6.158872196231686e-07,7.476454013045517e-07,5.526432924161047e-07,8.108893285116157e-07,5.005988106519582e-07,8.629338102757621e-07,10.230026511385804,8.40495821231379,11.764080357074551,6.587909084069161e-08,11.76408029119546,11.764080422953642,11.764080227951533,11.76408048619757,11.76408017590705,11.764080538242052,10.230026511385804,8.40495821231379,0.5273550027212524,1.9121387244380604e-21
754,3.611464381976191e-07,3.863375498773119e-08,3.225126832098879e-07,3.997801931853503e-07,2.8542427842166595e-07,4.3686859797357227e-07,2.5490361198135835e-07,4.6738926441387987e-07,11.770483827226636,9.259880173875812,8.702785308096688,3.863375498773119e-08,8.702785269462932,8.702785346730444,8.702785232374529,8.702785383818847,8.702785201853862,8.702785414339514,11.770483827226636,9.259880173875812,0.48903680242474973,3.0577030156700782e-18
755,7.265596900967795e-07,1.2402202716162232e-07,6.025376629351572e-07,8.505817172584018e-07,4.834765168599998e-07,9.696428633335592e-07,3.854991154023181e-07,1.067620264791241e-06,11.966491691982043,9.445422877495867,19.7179966060892,1.2402202716162232e-07,19.717996482067175,19.717996730111228,19.717996363006026,19.717996849172376,19.717996265028628,19.717996947149775,11.966491691982043,9.445422877495867,0.3314917342650899,1.3187908842846613e-08
756,7.795221858086359e-07,1.0505739849360478e-07,6.744647873150312e-07,8.845795843022406e-07,5.736096847611706e-07,9.854346868561012e-07,4.906143399512227e-07,1.0684300316660491e-06,13.477667132016364,10.836279850583924,16.14984931760275,1.0505739849360478e-07,16.14984921254535,16.14984942266015,16.14984911169025,16.14984952351525,16.149849028694906,16.149849606510596,13.477667132016364,10.836279850583924,0.4065774501036596,1.4296325670543445e-12
757,9.252949193426072e-07,1.3293713331597704e-07,7.923577860266302e-07,1.0582320526585843e-06,6.647381380432922e-07,1.1858517006419223e-06,5.597178027236703e-07,1.290872035961544e-06,14.541640028407633,11.30651287195739,20.870519788556678,1.3293713331597704e-07,20.870519655619542,20.870519921493813,20.870519527999896,20.87052004911346,20.870519422979562,20.870520154133793,14.541640028407633,11.30651287195739,0.38523653185947004,2.4409469790082444e-11
